Region,Year,AvgTemperature
Europe,2006,48.090954307314625
Europe,2007,50.78712918660323
Europe,2008,51.06083533493462
Europe,2009,49.92103821394317
Europe,2010,47.09855827805602
Europe,2011,49.96520254435916
Europe,2012,49.11577509347122
Europe,2013,51.17017400962613
Europe,2014,52.33811181044038
Europe,2015,51.77580680895058
Europe,2016,50.392416186678325
Europe,2017,51.68253980007399
Europe,2018,50.20741891208571
Europe,2019,49.60529547753217
Europe,2020,44.80030272452078
Middle East,1995,55.41630456057929
Middle East,1996,57.23567525370814
Middle East,1997,58.59994129158496
Middle East,1998,58.49739726027398
Middle East,1999,59.68156555772994
Middle East,2000,60.21139734582348
Middle East,2001,72.69857142857147
Middle East,2002,71.00064579256357
Middle East,2003,73.23493150684926
Middle East,2004,72.0562841530055
Middle East,2005,71.69632093933483
Middle East,2006,70.94481409001965
Middle East,2007,69.23148111133331
Middle East,2008,72.81401849516595
Middle East,2009,72.98288724973659
Middle East,2010,74.84106616097776
Middle East,2011,71.50904109589024
Middle East,2012,67.38154686843203
Middle East,2013,74.09635405690186
Middle East,2014,71.72210748155955
Middle East,2015,72.16595208070602
Middle East,2016,71.31134930643147
Middle East,2017,70.18096944151716
Middle East,2018,73.46120126448926
Middle East,2019,71.47637447560184
Middle East,2020,63.37064676616934
North America,1995,54.88431546440702
North America,1996,51.07110142455545
North America,1997,53.795868239764964
North America,1998,54.5178193047751
North America,1999,55.64553012906748
North America,2000,55.08479263400598
North America,2001,55.91584765222858
North America,2002,53.36726106580061
North America,2003,54.5241206746371
North America,2004,55.1147345783454
North America,2005,55.38696559413752
North America,2006,56.11271305234257
North America,2007,55.27388970776755
North America,2008,54.032491160398436
North America,2009,54.64772280418991
North America,2010,55.666199160748526
North America,2011,56.394211916157545
North America,2012,57.92444737058708
North America,2013,55.2888811674783
North America,2014,55.040757940408255
North America,2015,57.170801668773635
North America,2016,58.05707788614568
North America,2017,57.8267383388242
North America,2018,56.86052088571372
North America,2019,56.61532339171091
North America,2020,47.40683138848196
South/Central America & Carribean,1995,36.252987611007555
South/Central America & Carribean,1996,53.6652715550214
South/Central America & Carribean,1997,55.117884931506815
South/Central America & Carribean,1998,49.52664109589041
South/Central America & Carribean,1999,58.42511780821901
South/Central America & Carribean,2000,61.0891256830601
South/Central America & Carribean,2001,64.43090410958915
South/Central America & Carribean,2002,62.90405479452074
South/Central America & Carribean,2003,60.30495342465744
South/Central America & Carribean,2004,57.01471038251369
South/Central America & Carribean,2005,68.04179726027382
South/Central America & Carribean,2006,62.355932946203836
South/Central America & Carribean,2007,63.332367039488865
South/Central America & Carribean,2008,61.31734577737293
South/Central America & Carribean,2009,67.06933789954354
South/Central America & Carribean,2010,65.00060040026685
South/Central America & Carribean,2011,68.361003329124
South/Central America & Carribean,2012,70.45890459783742
South/Central America & Carribean,2013,63.894056693663494
South/Central America & Carribean,2014,59.68152744630077
South/Central America & Carribean,2015,72.05869130869127
South/Central America & Carribean,2016,70.04803538901885
South/Central America & Carribean,2017,69.95296803652968
South/Central America & Carribean,2018,69.44672043010763
South/Central America & Carribean,2019,69.6357534246576
South/Central America & Carribean,2020,72.51557902678235
